,위도,경도
672,36.83534412,127.144458
673,36.80249201,127.1264335
674,36.83373731,127.1415723
675,36.79581773,127.1293554
676,36.81373158,127.1341179
677,36.8221593,127.1245066
678,36.83012421,127.1292364
679,36.87696254,127.1524188
680,36.83461537,127.1346453
681,36.80910421,127.1102874
682,36.80578994,127.1276177
683,36.79210124,127.125162
684,36.80242655,127.1322727
685,36.83561954,127.133939
686,36.87651551,127.1466978
687,36.8443894,127.1219679
688,36.82496985,127.1024897
689,36.8016152,127.164218
690,36.78565196,127.1342524
691,36.90787318,127.2271748
692,36.7693502,127.1429696
693,36.78830701,127.1940442
694,36.95618803,127.1298138
695,36.8410115,127.1745996
696,36.80681242,127.1423848
697,36.80622829,127.1517726
698,36.83118101,127.1541201
699,36.77217701,127.1309101
700,36.78947011,127.137992
701,36.76979701,127.202723
702,36.81538401,127.163303
703,36.81247011,127.150987
704,36.80431401,127.152691
705,36.81896601,127.103961
706,36.79078501,127.162963
707,36.831011,127.174595
708,36.80287101,127.118999
709,36.81539701,127.141928
710,36.82602901,127.119168
711,36.81931101,127.119818
712,36.80575401,127.110193
713,36.78770101,127.151111
714,36.82037301,127.123106
715,36.79369301,127.157486
716,36.80711201,127.110187
717,36.88231501,127.154729
718,36.87681801,127.148977
719,36.82564201,127.118732
720,36.87786011,127.158078
721,36.83036401,127.129699
722,36.91715901,127.127868
723,36.71985201,127.132486
724,36.76598701,127.302616
725,36.78205101,127.234875
726,36.78147501,127.235078
727,36.78017501,127.154624
728,36.78663901,127.2352201
729,36.80136901,127.140306
730,36.81258701,127.152955
731,36.81254101,127.152859
732,36.78844011,127.126678
733,36.78809501,127.135445
734,36.77111101,127.131944
735,36.77082501,127.132119
736,36.80125011,127.123719
737,36.81834401,127.106881
738,36.80266701,127.118779
739,36.79163011,127.123754
740,36.83676201,127.141999
741,36.83122501,127.129539
742,36.85467501,127.119531
743,36.83668301,127.141877
744,36.80705101,127.110462
745,36.84849401,127.152939
746,36.82715979,127.1219893
747,36.82718126,127.1219679
748,36.80721501,127.132575
749,36.82307401,127.112152
750,36.96172301,127.125414
751,36.81836201,127.135487
752,36.76584401,127.287718
753,36.77052401,127.268566
754,36.81930501,127.101019
755,36.81572601,127.109887
756,36.90879801,127.172085
757,36.80139501,127.101132
758,36.75087401,127.195492
759,36.67432801,127.146096
760,36.67399201,127.145361
761,36.72704301,127.1171201
762,36.93420801,127.1890601
763,36.83665011,127.174661
764,36.83410101,127.123594
765,36.83794501,127.123161
766,36.89358501,127.211893
767,36.89891401,127.216378
768,36.80481501,127.169875
769,36.76274701,127.1383335
770,36.87446201,127.1370101
771,36.85127201,127.1253801
772,36.77847172,127.1587258
773,36.78560607,127.1288041
774,36.81950629,127.1580797
775,36.80803433,127.1070802
776,36.83060215,127.1376211
777,36.8554594,127.1344657
778,36.81286274,127.1052791
779,36.79978901,127.164565
780,36.73481101,127.126682
781,36.76229401,127.159408
782,36.76754601,127.167987
783,36.7691011,127.2525011
784,36.80251501,127.139961
785,36.79806701,127.130469
786,36.82655601,127.133051
787,36.82642301,127.132669
788,36.84694201,127.151592
789,36.7672011,127.2844011
790,36.84569201,127.122079
