위도,경도,설치형태,근처 가로등수,근처 CCTV개수,근처 킥라니주차장개수,300m내_사고다발지역_개수,가장가까운_사고다발지역_거리(m),주변 학교 수,가장 가까운 학교와의 거리,광원 등급,위험도(100점)
36.83112732,127.1072604,나트륨,77,0,0,0,901.2753240077574,0,698.0360743664502,2,47.35
36.82749587,127.1470735,LED,95,1,0,2,195.0745436798639,0,610.04326145831,5,47.36
36.8047311,127.106281,LED,166,6,8,1,234.37774913677305,2,113.9978099051746,5,47.36
36.80972257,127.1278059,LED,73,1,2,0,528.9231870831999,0,386.40306292290086,5,47.36
36.80730439,127.152506,LED,110,7,2,0,399.3123288443371,3,210.39720144561647,5,47.36
36.7999299,127.1101579,CDM,155,4,4,2,273.6906528918374,1,178.1161309987766,4,47.36
36.82435282,127.1475912,LED,74,1,0,1,299.67557843020967,0,573.7365366328257,5,47.36
36.80539915,127.1033966,CDM,98,4,2,0,303.5135330250259,1,163.37147515045882,4,47.37
36.80473155,127.1526354,LED,97,10,0,1,231.0689737200587,3,117.55098629791549,5,47.37
36.83063997,127.1220621,나트륨,110,5,0,0,657.7559459675108,2,276.5710133214367,2,47.37
36.83041608,127.1065532,나트륨,80,0,0,0,953.0077880563708,0,612.093545693994,2,47.37
36.83063435,127.1231382,나트륨,104,6,0,0,641.327738563038,2,222.81667569633296,2,47.38
36.82912691,127.1072043,나트륨,81,0,0,0,799.6669890767956,0,643.4692141493651,2,47.38
36.78484007,127.1373711,LED,45,1,0,0,1035.0532743788146,0,471.9640683650495,5,47.38
36.81446122,127.1661315,LED,61,2,2,0,865.7598893780993,0,330.3632071020608,5,47.38
36.8321016,127.1157196,나트륨,113,1,2,1,275.3035033510431,0,731.7576488519737,2,47.39
36.80639482,127.1538209,LED,106,6,0,0,406.481364244442,3,153.4063016113972,5,47.39
36.78830288,127.1351618,CPO,102,8,0,0,858.5638142794734,3,148.30907417627017,3,47.39
36.80546862,127.1068212,LED,184,8,10,2,159.46111251993926,2,142.81656964194934,5,47.39
36.79870086,127.1378832,LED,96,4,0,0,425.6723192209352,2,172.66284454940185,5,47.39
36.8389363,127.145169,LED,81,2,0,0,546.6886805906756,1,256.9093159015734,5,47.4
36.82763848,127.146684,LED,93,1,0,2,181.5675463503719,0,647.0762946381709,5,47.4
36.82987552,127.1520352,나트륨,106,5,7,0,508.9761932040437,0,407.1443824355294,2,47.4
36.79852675,127.159982,LED,63,4,5,0,633.4614362512278,0,471.1996136905713,5,47.4
36.79598115,127.158268,나트륨,77,6,4,0,502.2036662561562,0,362.5549969767295,2,47.4
36.80201501,127.1094104,CDM,196,3,8,2,210.19400841533167,1,145.13659358082063,4,47.4
36.82275388,127.1046063,CDM,74,3,3,0,581.5948087227554,0,349.1844645598026,4,47.4
36.80470331,127.1061085,LED,166,6,8,1,238.03233832376745,2,103.75067309754556,5,47.4
36.82766541,127.1138914,CDM,88,2,4,0,564.2071234558256,0,399.2542150334536,4,47.41
36.84406236,127.121663,LED,94,4,2,0,1159.0681257427068,2,259.40433950670706,5,47.41
36.82130511,127.1561821,LED,104,3,0,1,299.9645779152003,1,121.21562050465624,5,47.41
36.82953797,127.1603295,LED,89,1,0,0,696.7646008884522,1,216.80660589847005,5,47.41
36.80657922,127.1608812,나트륨,89,2,3,0,993.1861775908789,0,506.665394326476,2,47.41
36.7846115,127.1476466,CDM,88,6,2,0,1449.5700904329833,2,133.59623439485645,4,47.42
36.79140377,127.12384,나트륨,103,8,1,0,308.1605661040611,2,146.91600046328267,2,47.42
36.83608786,127.1454669,LED,87,11,0,1,228.8768820470356,3,134.0753535814345,5,47.42
36.82213507,127.1248955,나트륨,103,5,3,1,293.0980524238756,0,355.1444059859796,2,47.42
36.82710305,127.103099,LED,45,2,0,0,886.5662334804633,0,333.6713746394019,5,47.42
36.8059227,127.1396072,CDM,66,4,3,0,345.9595022494975,0,412.5227254805551,4,47.42
36.83062839,127.1245394,나트륨,89,5,0,0,516.705652102337,1,205.5540653339581,2,47.43
36.84265859,127.1054658,메탈,69,5,0,0,1334.368489465622,2,219.74445959110648,5,47.43
36.79088643,127.1557478,LED,70,3,4,0,739.3261971195217,0,307.16726420029204,5,47.43
36.84472593,127.1087425,메탈,59,6,0,0,1328.2819592922972,2,246.4947946889118,5,47.43
36.82967703,127.1067091,나트륨,81,0,0,0,874.7200176834054,0,606.5256180626398,2,47.43
36.80923574,127.1112194,LED,88,8,12,0,365.4273387272829,0,403.3690909638119,5,47.43
36.82948003,127.1196053,CDM,106,0,0,0,624.6174131911432,1,284.5294671161336,4,47.43
36.80618539,127.1537645,LED,107,6,0,0,389.1982318788953,3,130.54385410034334,5,47.43
36.80639571,127.1531374,LED,97,7,0,0,358.757901056,3,167.91873753312532,5,47.43
36.82966378,127.106412,나트륨,82,0,0,0,887.2059589016179,0,580.2092901277659,2,47.43
36.7910799,127.1254893,나트륨,96,9,1,0,331.70754401288025,2,97.72580240537852,2,47.44
36.80964755,127.1279129,LED,73,1,2,0,516.2802678726647,0,374.7263448644798,5,47.44
36.8155835,127.1471656,LED,68,1,1,0,313.90229596114943,0,395.6967810449024,5,47.44
36.78813899,127.1285542,LED,99,12,6,0,319.7605252669064,3,162.18636658100377,5,47.45
36.7992671,127.1429322,메탈,72,2,0,1,256.77373473314344,0,429.4751460414355,5,47.45
36.78443188,127.1489626,CDM,97,6,3,0,1449.9848476329169,2,95.12800583689604,4,47.45
36.78888208,127.1482066,LED,73,6,1,0,1001.705555455113,2,223.25940332611512,5,47.45
36.8077011,127.1400356,CDM,68,4,3,0,323.87887635735785,0,373.7972826535185,4,47.45
36.78580624,127.1575804,CDM,126,5,5,0,700.5527171399785,2,254.09004499354683,4,47.45
36.823267,127.1195004,LED,91,3,3,1,261.5646074277857,0,317.2014077503577,5,47.45
36.80981366,127.1279433,LED,72,1,2,0,525.7758568448028,0,390.3417778808731,5,47.45
36.8019515,127.1082412,LED,217,3,13,2,253.38880621654152,1,240.86878078189568,5,47.46
36.83769121,127.1384353,LED,108,3,4,0,414.572816212193,1,172.32942339198524,5,47.46
36.82862612,127.1262512,LED,76,4,1,0,414.2490743388677,1,187.20296043097235,5,47.46
36.78462285,127.1381969,LED,54,0,0,0,1111.4427989920125,0,421.6841034470037,5,47.46
36.834844,127.1513245,나트륨,130,6,6,0,471.3299482563241,1,116.0524786520014,2,47.46
36.83309339,127.1127743,나트륨,74,0,0,0,364.1209847576381,0,929.1267050771456,2,47.46
36.8309667,127.1236215,나트륨,94,4,0,0,601.0353698182697,1,245.1044540967456,2,47.46
36.84466724,127.1205427,나트륨,75,3,2,0,1186.8700848092362,0,378.7494186323096,2,47.46
36.79969885,127.1064284,CDM,189,5,9,4,80.39084969873508,0,439.43026361391424,4,47.47
36.82198794,127.1234045,나트륨,120,7,3,0,362.60123731323074,2,257.0887540569603,2,47.47
36.79077995,127.1192399,나트륨,114,5,8,0,623.3135646677545,0,338.75715314924145,2,47.47
36.81827513,127.1073994,CDM,164,6,3,0,324.35561936902275,4,193.02599348220872,4,47.47
36.83256422,127.1125339,나트륨,75,0,0,0,411.1291266595885,0,888.2998617592873,2,47.47
36.80545984,127.1449215,나트륨,118,7,2,1,185.10435995266008,1,95.68285556507982,2,47.47
36.83075401,127.1065368,나트륨,78,0,0,0,977.1767351891876,0,622.9446989279985,2,47.47
36.82722894,127.1034046,LED,44,2,0,0,873.37403787709,0,349.46261645009304,5,47.47
36.82147962,127.111167,CDM,115,6,3,3,100.16179221064368,0,418.4322423055469,4,47.47
36.8391411,127.111414,나트륨,67,1,0,0,684.117409236642,0,775.5051650148849,2,47.47
36.80274349,127.1084982,LED,197,4,11,1,291.83749901345817,2,256.62017613825526,5,47.47
36.82447102,127.1184542,CDM,98,6,1,0,344.2730494881264,2,154.7524615451773,4,47.47
36.83426815,127.116345,나트륨,125,1,4,1,28.3878574499656,0,864.2630541821572,2,47.47
36.78818328,127.1292657,LED,107,13,7,0,372.2818007508939,3,125.6480048597242,5,47.48
36.8424155,127.1052329,메탈,67,5,0,0,1331.640161040816,2,250.9121944476344,5,47.48
36.81187957,127.1561377,LED,103,3,0,0,630.3602506394643,2,117.26792542002556,5,47.48
36.78570186,127.1564431,CDM,107,4,5,0,799.7844751491467,1,243.6127677011112,4,47.48
36.7989123,127.137209,LED,95,4,0,0,428.36452807812384,2,173.26915265134298,5,47.48
36.80639474,127.1538882,LED,105,6,0,0,411.36833168894816,3,153.2158991636935,5,47.48
36.79628285,127.1004246,메탈,94,7,0,1,123.80207342043124,2,193.1271734059452,5,47.48
36.79343558,127.1648508,LED,59,2,2,0,600.7208766136251,0,445.36542213727057,5,47.48
36.7988974,127.1376462,LED,96,4,0,0,412.9865806031541,2,157.30309657442928,5,47.48
36.83780975,127.1606159,LED,38,0,0,0,1361.1390895559216,0,660.1476543024648,5,47.48
36.84331092,127.1065543,메탈,72,5,0,0,1317.973665055133,2,151.4044941786047,5,47.48
