사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,구분,연도
6788515,2022046,4413310400,44130001,충청남도 천안시1,충청남도 천안시 서북구 두정동(커피농 인근),45,50,0,7,38,5,127.135650815434,36.832506688134,"{""type"":""Polygon"",""coordinates"":[[[127.13699829,36.83250669],[127.1369724,36.83229628],[127.13689572,36.83209396],[127.1367712,36.8319075],[127.13660362,36.83174407],[127.13639943,36.83160994],[127.13616647,36.83151027],[127.13591369,36.8314489],[127.13565082,36.83142817],[127.13538794,36.8314489],[127.13513516,36.83151027],[127.1349022,36.83160994],[127.13469801,36.83174407],[127.13453043,36.8319075],[127.13440591,36.83209396],[127.13432923,36.83229628],[127.13430334,36.83250669],[127.13432923,36.83271709],[127.13440591,36.83291941],[127.13453043,36.83310587],[127.13469801,36.8332693],[127.1349022,36.83340343],[127.13513516,36.83350309],[127.13538794,36.83356446],[127.13565082,36.83358519],[127.13591369,36.83356446],[127.13616647,36.83350309],[127.13639943,36.83340343],[127.13660362,36.8332693],[127.1367712,36.83310587],[127.13689572,36.83291941],[127.1369724,36.83271709],[127.13699829,36.83250669]]]}",지자체별 사고다발구간,2022
6788516,2022046,4413310200,44130002,충청남도 천안시2,충청남도 천안시 서북구 성정동(충남부동산컨설팅 인근),35,56,0,8,45,3,127.137414411147,36.826656531675,"{""type"":""Polygon"",""coordinates"":[[[127.13876188,36.82665653],[127.13873599,36.82644611],[127.13865931,36.82624377],[127.13853479,36.8260573],[127.13836722,36.82589385],[127.13816303,36.82575971],[127.13793007,36.82566004],[127.13767729,36.82559866],[127.13741441,36.82557794],[127.13715153,36.82559866],[127.13689876,36.82566004],[127.1366658,36.82575971],[127.1364616,36.82589385],[127.13629403,36.8260573],[127.13616951,36.82624377],[127.13609283,36.82644611],[127.13606694,36.82665653],[127.13609283,36.82686695],[127.13616951,36.82706929],[127.13629403,36.82725576],[127.1364616,36.8274192],[127.1366658,36.82755334],[127.13689876,36.82765301],[127.13715153,36.82771439],[127.13741441,36.82773511],[127.13767729,36.82771439],[127.13793007,36.82765301],[127.13816303,36.82755334],[127.13836722,36.8274192],[127.13853479,36.82725576],[127.13865931,36.82706929],[127.13873599,36.82686695],[127.13876188,36.82665653]]]}",지자체별 사고다발구간,2022
6788517,2022046,4413310700,44130003,충청남도 천안시3,충청남도 천안시 서북구 쌍용동(쌍용동516 인근),34,43,0,5,38,0,127.129897385557,36.797118537392,"{""type"":""Polygon"",""coordinates"":[[[127.13124486,36.79711854],[127.13121897,36.79690803],[127.13114229,36.79670562],[127.13101777,36.79651907],[127.13085019,36.79635556],[127.130646,36.79622137],[127.13041304,36.79612166],[127.13016026,36.79606026],[127.12989739,36.79603953],[127.12963451,36.79606026],[127.12938173,36.79612166],[127.12914877,36.79622137],[127.12894458,36.79635556],[127.128777,36.79651907],[127.12865248,36.79670562],[127.1285758,36.79690803],[127.12854991,36.79711854],[127.1285758,36.79732904],[127.12865248,36.79753145],[127.128777,36.797718],[127.12894458,36.7978815],[127.12914877,36.79801569],[127.12938173,36.7981154],[127.12963451,36.7981768],[127.12989739,36.79819753],[127.13016026,36.7981768],[127.13041304,36.7981154],[127.130646,36.79801569],[127.13085019,36.7978815],[127.13101777,36.797718],[127.13114229,36.79753145],[127.13121897,36.79732904],[127.13124486,36.79711854]]]}",지자체별 사고다발구간,2022
6835451,2023021,4413111600,44131001,충남 천안시 동남구1,충남 천안시 동남구 신방동(방산삼거리 부근),4,4,0,1,3,0,127.128078482333,36.777160530479,"{""type"":""Polygon"",""coordinates"":[[[127.13077343,36.77716053],[127.13072165,36.77673941],[127.13056829,36.77633448],[127.13031925,36.77596128],[127.1299841,36.77563418],[127.12957571,36.77536572],[127.12910979,36.77516624],[127.12860424,36.77504341],[127.12807848,36.77500193],[127.12755272,36.77504341],[127.12704717,36.77516624],[127.12658125,36.77536572],[127.12617287,36.77563418],[127.12583772,36.77596128],[127.12558868,36.77633448],[127.12543532,36.77673941],[127.12538354,36.77716053],[127.12543532,36.77758165],[127.12558868,36.77798658],[127.12583772,36.77835976],[127.12617287,36.77868686],[127.12658125,36.7789553],[127.12704717,36.77915476],[127.12755272,36.7792776],[127.12807848,36.77931907],[127.12860424,36.7792776],[127.12910979,36.77915476],[127.12957571,36.7789553],[127.1299841,36.77868686],[127.13031925,36.77835976],[127.13056829,36.77798658],[127.13072165,36.77758165],[127.13077343,36.77716053]]]}",법규위반별 사고다발구간,2023
6835501,2023021,4413133022,44131002,충남 천안시 동남구2,충남 천안시 동남구 북면 상동리(방글방글어린이집 부근),3,6,0,4,2,0,127.268104705824,36.77047536968,"{""type"":""Polygon"",""coordinates"":[[[127.27079965,36.77047537],[127.27074787,36.77005422],[127.27059451,36.76964924],[127.27034547,36.76927602],[127.27001032,36.76894888],[127.26960194,36.76868041],[127.26913602,36.76848091],[127.26863046,36.76835806],[127.26810471,36.76831658],[127.26757895,36.76835806],[127.26707339,36.76848091],[127.26660747,36.76868041],[127.26619909,36.76894888],[127.26586394,36.76927602],[127.2656149,36.76964924],[127.26546154,36.77005422],[127.26540976,36.77047537],[127.26546154,36.77089652],[127.2656149,36.77130149],[127.26586394,36.7716747],[127.26619909,36.77200183],[127.26660747,36.77227029],[127.26707339,36.77246978],[127.26757895,36.77259262],[127.26810471,36.7726341],[127.26863046,36.77259262],[127.26913602,36.77246978],[127.26960194,36.77227029],[127.27001032,36.77200183],[127.27034547,36.7716747],[127.27059451,36.77130149],[127.27074787,36.77089652],[127.27079965,36.77047537]]]}",법규위반별 사고다발구간,2023
6835698,2023021,4413111300,44131003,충남 천안시 동남구3,충남 천안시 동남구 봉명동(천안봉명초등학교 부근),3,5,0,0,5,0,127.132211791216,36.80450593554,"{""type"":""Polygon"",""coordinates"":[[[127.13490674,36.80450594],[127.13485495,36.80408497],[127.1347016,36.80368018],[127.13445256,36.80330712],[127.13411741,36.80298012],[127.13370902,36.80271177],[127.1332431,36.80251236],[127.13273755,36.80238957],[127.13221179,36.8023481],[127.13168603,36.80238957],[127.13118048,36.80251236],[127.13071456,36.80271177],[127.13030618,36.80298012],[127.12997103,36.80330712],[127.12972199,36.80368018],[127.12956863,36.80408497],[127.12951685,36.80450594],[127.12956863,36.8049269],[127.12972199,36.80533169],[127.12997103,36.80570474],[127.13030618,36.80603172],[127.13071456,36.80630006],[127.13118048,36.80649946],[127.13168603,36.80662225],[127.13221179,36.80666371],[127.13273755,36.80662225],[127.1332431,36.80649946],[127.13370902,36.80630006],[127.13411741,36.80603172],[127.13445256,36.80570474],[127.1347016,36.80533169],[127.13485495,36.8049269],[127.13490674,36.80450594]]]}",법규위반별 사고다발구간,2023
6835337,2023021,4413310200,44133001,충남 천안시 서북구1,충남 천안시 서북구 성정동(천안감사교회 부근),3,5,0,0,5,0,127.146832141597,36.812773160007,"{""type"":""Polygon"",""coordinates"":[[[127.14952709,36.81277316],[127.1494753,36.81235224],[127.14932195,36.81194749],[127.14907291,36.81157447],[127.14873776,36.81124751],[127.14832937,36.81097919],[127.14786345,36.8107798],[127.1473579,36.81065702],[127.14683214,36.81061556],[127.14630638,36.81065702],[127.14580083,36.8107798],[127.14533491,36.81097919],[127.14492653,36.81124751],[127.14459138,36.81157447],[127.14434234,36.81194749],[127.14418898,36.81235224],[127.1441372,36.81277316],[127.14418898,36.81319408],[127.14434234,36.81359882],[127.14459138,36.81397183],[127.14492653,36.81429878],[127.14533491,36.81456709],[127.14580083,36.81476647],[127.14630638,36.81488924],[127.14683214,36.8149307],[127.1473579,36.81488924],[127.14786345,36.81476647],[127.14832937,36.81456709],[127.14873776,36.81429878],[127.14907291,36.81397183],[127.14932195,36.81359882],[127.1494753,36.81319408],[127.14952709,36.81277316]]]}",법규위반별 사고다발구간,2023
6835902,2023022,4413310400,44133001,충남 천안시 서북구1,충남 천안시 서북구 두정동(서부대로사거리 부근),10,12,0,3,9,0,127.133107092306,36.826532764912,"{""type"":""Polygon"",""coordinates"":[[[127.13400541,36.82653276],[127.13398815,36.82639248],[127.13393703,36.82625759],[127.13385401,36.82613328],[127.1337423,36.82602431],[127.13360617,36.82593489],[127.13345086,36.82586844],[127.13328234,36.82582752],[127.13310709,36.8258137],[127.13293184,36.82582752],[127.13276332,36.82586844],[127.13260802,36.82593489],[127.13247189,36.82602431],[127.13236017,36.82613328],[127.13227716,36.82625759],[127.13222604,36.82639248],[127.13220878,36.82653276],[127.13222604,36.82667305],[127.13227716,36.82680794],[127.13236017,36.82693225],[127.13247189,36.82704122],[127.13260802,36.82713064],[127.13276332,36.82719709],[127.13293184,36.82723801],[127.13310709,36.82725182],[127.13328234,36.82723801],[127.13345086,36.82719709],[127.13360617,36.82713064],[127.1337423,36.82704122],[127.13385401,36.82693225],[127.13393703,36.82680794],[127.13398815,36.82667305],[127.13400541,36.82653276]]]}",법규위반별 사고다발구간,2023
6835399,2023021,4413310800,44133002,충남 천안시 서북구2,충남 천안시 서북구 불당동(천안불당초등학교 부근),3,5,0,0,5,0,127.106292908438,36.806838888172,"{""type"":""Polygon"",""coordinates"":[[[127.10898785,36.80683889],[127.10893607,36.80641793],[127.10878271,36.80601315],[127.10853367,36.80564011],[127.10819852,36.80531312],[127.10779014,36.80504478],[127.10732422,36.80484538],[127.10681867,36.80472258],[127.10629291,36.80468112],[127.10576715,36.80472258],[127.1052616,36.80484538],[127.10479568,36.80504478],[127.10438729,36.80531312],[127.10405214,36.80564011],[127.1038031,36.80601315],[127.10364975,36.80641793],[127.10359796,36.80683889],[127.10364975,36.80725984],[127.1038031,36.80766461],[127.10405214,36.80803765],[127.10438729,36.80836462],[127.10479568,36.80863296],[127.1052616,36.80883235],[127.10576715,36.80895513],[127.10629291,36.80899659],[127.10681867,36.80895513],[127.10732422,36.80883235],[127.10779014,36.80863296],[127.10819852,36.80836462],[127.10853367,36.80803765],[127.10878271,36.80766461],[127.10893607,36.80725984],[127.10898785,36.80683889]]]}",법규위반별 사고다발구간,2023
6836014,2023022,4413325625,44133002,충남 천안시 서북구2,충남 천안시 서북구 직산읍 수헐리(32-3 부근),6,14,0,2,12,0,127.141338012402,36.888329145557,"{""type"":""Polygon"",""coordinates"":[[[127.14223633,36.88832915],[127.14221907,36.88818898],[127.14216795,36.8880542],[127.14208493,36.88792998],[127.14197322,36.8878211],[127.14183709,36.88773175],[127.14168178,36.88766535],[127.14151327,36.88762447],[127.14133801,36.88761066],[127.14116276,36.88762447],[127.14099424,36.88766535],[127.14083894,36.88773175],[127.14070281,36.8878211],[127.14059109,36.88792998],[127.14050808,36.8880542],[127.14045696,36.88818898],[127.1404397,36.88832915],[127.14045696,36.88846931],[127.14050808,36.88860409],[127.14059109,36.88872831],[127.14070281,36.88883719],[127.14083894,36.88892654],[127.14099424,36.88899293],[127.14116276,36.88903382],[127.14133801,36.88904762],[127.14151327,36.88903382],[127.14168178,36.88899293],[127.14183709,36.88892654],[127.14197322,36.88883719],[127.14208493,36.88872831],[127.14216795,36.88860409],[127.14221907,36.88846931],[127.14223633,36.88832915]]]}",법규위반별 사고다발구간,2023
6835472,2023021,4413310200,44133003,충남 천안시 서북구3,충남 천안시 서북구 성정동(백석사거리 부근),5,7,0,3,4,0,127.132918219646,36.818557471449,"{""type"":""Polygon"",""coordinates"":[[[127.13561317,36.81855747],[127.13556138,36.81813658],[127.13540802,36.81773186],[127.13515899,36.81735887],[127.13482383,36.81703194],[127.13441545,36.81676363],[127.13394953,36.81656426],[127.13344398,36.81644149],[127.13291822,36.81640004],[127.13239246,36.81644149],[127.13188691,36.81656426],[127.13142099,36.81676363],[127.13101261,36.81703194],[127.13067745,36.81735887],[127.13042841,36.81773186],[127.13027506,36.81813658],[127.13022327,36.81855747],[127.13027506,36.81897836],[127.13042841,36.81938307],[127.13067745,36.81975605],[127.13101261,36.82008297],[127.13142099,36.82035127],[127.13188691,36.82055063],[127.13239246,36.82067339],[127.13291822,36.82071485],[127.13344398,36.82067339],[127.13394953,36.82055063],[127.13441545,36.82035127],[127.13482383,36.82008297],[127.13515899,36.81975605],[127.13540802,36.81938307],[127.13556138,36.81897836],[127.13561317,36.81855747]]]}",법규위반별 사고다발구간,2023
6836061,2023022,4413310700,44133003,충남 천안시 서북구3,충남 천안시 서북구 쌍용동(일봉산사거리 부근),6,7,0,2,5,0,127.130342384873,36.797845069323,"{""type"":""Polygon"",""coordinates"":[[[127.1312407,36.79784507],[127.13122344,36.79770473],[127.13117232,36.79756979],[127.13108931,36.79744543],[127.13097759,36.79733642],[127.13084146,36.79724697],[127.13068616,36.79718049],[127.13051764,36.79713956],[127.13034238,36.79712574],[127.13016713,36.79713956],[127.12999861,36.79718049],[127.12984331,36.79724697],[127.12970718,36.79733642],[127.12959546,36.79744543],[127.12951245,36.79756979],[127.12946133,36.79770473],[127.12944407,36.79784507],[127.12946133,36.7979854],[127.12951245,36.79812034],[127.12959546,36.79824471],[127.12970718,36.79835371],[127.12984331,36.79844317],[127.12999861,36.79850964],[127.13016713,36.79855057],[127.13034238,36.7985644],[127.13051764,36.79855057],[127.13068616,36.79850964],[127.13084146,36.79844317],[127.13097759,36.79835371],[127.13108931,36.79824471],[127.13117232,36.79812034],[127.13122344,36.7979854],[127.1312407,36.79784507]]]}",법규위반별 사고다발구간,2023
6835626,2023021,4413310200,44133004,충남 천안시 서북구4,충남 천안시 서북구 성정동(성정평생학습관(지정)사거리 부근),7,7,0,3,3,1,127.140008624592,36.827233210451,"{""type"":""Polygon"",""coordinates"":[[[127.14270357,36.82723321],[127.14265179,36.82681237],[127.14249843,36.8264077],[127.14224939,36.82603475],[127.14191424,36.82570785],[127.14150586,36.82543958],[127.14103994,36.82524023],[127.14053438,36.82511747],[127.14000862,36.82507602],[127.13948287,36.82511747],[127.13897731,36.82524023],[127.13851139,36.82543958],[127.13810301,36.82570785],[127.13776786,36.82603475],[127.13751882,36.8264077],[127.13736546,36.82681237],[127.13731368,36.82723321],[127.13736546,36.82765405],[127.13751882,36.82805872],[127.13776786,36.82843166],[127.13810301,36.82875854],[127.13851139,36.8290268],[127.13897731,36.82922614],[127.13948287,36.82934889],[127.14000862,36.82939034],[127.14053438,36.82934889],[127.14103994,36.82922614],[127.14150586,36.8290268],[127.14191424,36.82875854],[127.14224939,36.82843166],[127.14249843,36.82805872],[127.14265179,36.82765405],[127.14270357,36.82723321]]]}",법규위반별 사고다발구간,2023
