위도,경도,설치형태,근처 가로등수,근처 CCTV개수,근처 킥라니주차장개수,300m내_사고다발지역_개수,가장가까운_사고다발지역_거리(m),주변 학교 수,가장 가까운 학교와의 거리,광원 등급
36.72693266,127.1222448,CDM,48,2,0,0,5399.9578366689575,0,390.3245712559684,4
36.72697833,127.1216403,CDM,51,2,0,0,5410.108917527324,0,339.81605907716585,4
36.72703546,127.1208484,CDM,42,2,0,0,5424.481109228258,2,275.61047080700973,4
36.72710384,127.1200621,CDM,33,3,0,0,5438.394038212648,2,216.6991979663936,4
36.72502771,127.1235235,CDM,27,0,0,0,5574.929870524527,0,505.9492780259207,4
36.72523948,127.1235182,CDM,30,0,0,0,5552.220175333576,0,500.5981051500132,4
36.72545135,127.123415,CDM,33,0,0,0,5531.671540711963,0,487.6679403720937,4
36.72568116,127.1233902,CDM,34,0,0,0,5507.478249882353,0,482.5031174357897,4
36.72590872,127.1233682,CDM,36,0,0,0,5483.477473926662,0,478.9176823322585,4
36.72611826,127.1233405,CDM,38,0,0,0,5461.556227646583,0,476.12525620967097,4
36.72653736,127.1232656,CDM,41,0,0,0,5418.19499959963,0,472.250956969172,4
36.77662843,127.2113134,나트륨,13,2,0,0,489.4095366266654,0,332.5114575017546,2
36.77637129,127.2114947,나트륨,13,2,0,0,472.313146964496,0,353.79581160696785,2
36.77613686,127.2115753,나트륨,13,2,0,0,454.0371717039392,0,367.4273613966149,2
36.77582164,127.211482,나트륨,13,2,0,0,420.3639024041424,0,371.2965678216665,2
36.77554226,127.2115009,나트륨,13,2,0,0,396.3467595669873,0,385.6555549083208,2
36.77500554,127.2118102,나트륨,13,2,0,0,370.6678444828252,0,438.8406494493003,2
36.77526262,127.2116681,나트륨,13,2,0,0,382.135920043699,0,413.3845648522133,2
36.77649534,127.2114167,나트륨,13,2,0,0,480.7684924678763,0,344.12767731618214,2
36.77474438,127.2117199,나트륨,13,2,0,0,345.2901255874769,0,448.2597675122152,2
36.7752765,127.2114609,나트륨,13,2,0,0,371.1214940715216,0,396.62346602168645,2
36.77553357,127.2113216,나트륨,13,2,0,0,385.98820682395655,0,371.8743866654484,2
36.77577026,127.2112382,나트륨,13,2,0,0,403.4904999846359,0,353.6268721033291,2
36.77603816,127.211337,나트륨,13,2,0,0,433.3655665120489,0,350.65101091624354,2
36.77629056,127.2112873,나트륨,13,2,0,0,455.2722567650076,0,338.0642234756798,2
36.73219256,127.1010575,CML,85,0,0,0,5549.52085051455,0,1427.9792404825434,4
36.73242479,127.1008311,CML,78,0,0,0,5535.079838616329,0,1402.9194424592288,4
36.73265027,127.1005991,CML,66,0,0,0,5521.689479048042,0,1378.962329371417,4
36.7329073,127.1003448,CML,57,0,0,0,5506.2132540607545,0,1352.0168768335743,4
36.73130587,127.0972528,CML,72,0,0,0,5790.555463743972,0,1572.844359126655,4
36.73147239,127.0974881,CML,73,0,0,0,5764.6039683171775,0,1549.879564580241,4
36.73079088,127.0996543,CML,117,0,0,0,5744.367544851015,0,1592.0207216108786,4
36.73166658,127.0969286,CML,60,0,0,0,5767.859386098075,0,1541.3946658204245,4
36.73102808,127.1000309,CML,118,0,0,0,5705.930773452968,0,1562.5663927072171,4
36.73126527,127.1004074,CML,113,0,0,0,5667.559663611439,0,1533.7360944206032,4
36.73150246,127.1007839,CML,105,0,0,0,5629.250529882047,0,1505.563510335536,4
36.73173966,127.1011605,CML,93,0,0,0,5590.999818512449,0,1478.0849317744307,4
36.73140966,127.0970626,CML,68,0,0,0,5787.891340880506,0,1565.8733094364377,4
36.73212471,127.0986924,CML,77,0,0,0,5650.801494177252,0,1457.019611683441,4
36.73163423,127.0979249,CML,79,0,0,0,5730.925623071347,0,1523.7021329627771,4
36.73261522,127.0994152,CML,70,0,0,0,5572.719298000233,0,1393.170754375402,4
36.7328447,127.0997793,CML,61,0,0,0,5535.199823940028,0,1363.800351098762,4
36.73236471,127.0990398,CML,72,0,0,0,5612.8309453296215,0,1425.5988988535355,4
36.73188473,127.0983003,CML,77,0,0,0,5690.66573520482,0,1489.6616690907038,4
36.73140474,127.0975608,CML,77,0,0,0,5768.439430792979,0,1555.71107424902,4
36.7300793,127.0985247,CML,112,0,0,0,5860.020623919758,0,1683.78276306904,4
36.73031649,127.0989012,CML,120,0,0,0,5821.413658786907,0,1652.6602629189024,4
36.73055369,127.0992778,CML,122,0,0,0,5782.858941481494,0,1622.0612882180535,4
36.731263,127.0973395,CML,72,0,0,0,5791.351941324632,0,1575.6205228503904,4
36.73012232,127.0982617,CML,106,0,0,0,5866.319972737412,0,1682.9579711005758,4
36.73036018,127.098036,CML,100,0,0,0,5851.918041969383,0,1660.5684250367613,4
36.73083589,127.0975846,CML,84,0,0,0,5823.576813630432,0,1616.9090561457656,4
36.73059803,127.0978103,CML,93,0,0,0,5837.670605307651,0,1638.5478377314682,4
36.73107375,127.0973589,CML,76,0,0,0,5809.405349175921,0,1595.6687476021189,4
36.73222875,127.1008813,CML,83,0,0,0,5552.726912608703,0,1424.5081900569337,4
36.73196063,127.0982416,CML,77,0,0,0,5685.643096395753,0,1482.4071775564744,4
36.73244437,127.0989797,CML,70,0,0,0,5607.444388792878,0,1417.6985945805532,4
36.73292811,127.0997178,CML,59,0,0,0,5529.445418822707,0,1355.2292003072616,4
36.73172438,127.0978775,CML,75,0,0,0,5724.047509769627,0,1514.8068040604944,4
36.7322115,127.0986198,CML,73,0,0,0,5645.254210791707,0,1448.660774721753,4
36.73269862,127.0993621,CML,65,0,0,0,5566.650098140209,0,1384.6353364913302,4
36.73307425,127.1000623,CML,54,0,0,0,5501.001730988071,0,1335.740910205407,4
36.73299765,127.100065,CML,55,0,0,0,5508.484991047606,0,1344.1943484634637,4
