사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,구분
6814302,2023017,4413310400,44133002,충청남도 천안시 서북구2,충청남도 천안시 서북구 두정동(역말오거리 부근),4,9,0,5,4,0,127.153094144889,36.824914777856,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.15399246,36.82491478],[127.1539752,36.82477449],[127.15392408,36.8246396],[127.15384107,36.82451528],[127.15372935,36.82440631],[127.15359322,36.82431689],[127.15343792,36.82425044],[127.1532694,36.82420952],[127.15309414,36.8241957],[127.15291889,36.82420952],[127.15275037,36.82425044],[127.15259507,36.82431689],[127.15245894,36.82440631],[127.15234722,36.82451528],[127.15226421,36.8246396],[127.15221309,36.82477449],[127.15219583,36.82491478],[127.15221309,36.82505506],[127.15226421,36.82518996],[127.15234722,36.82531427],[127.15245894,36.82542324],[127.15259507,36.82551266],[127.15275037,36.82557911],[127.15291889,36.82562003],[127.15309414,36.82563385],[127.1532694,36.82562003],[127.15343792,36.82557911],[127.15359322,36.82551266],[127.15372935,36.82542324],[127.15384107,36.82531427],[127.15392408,36.82518996],[127.1539752,36.82505506],[127.15399246,36.82491478]]]]}",이륜차 사고다발지역
6814454,2023017,4413310200,44133003,충청남도 천안시 서북구3,충청남도 천안시 서북구 성정동(백석로253 부근),4,6,0,4,2,0,127.13854679047,36.818561191444,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.13944511,36.81856119],[127.13942784,36.8184209],[127.13937673,36.81828599],[127.13929371,36.81816166],[127.139182,36.81805268],[127.13904587,36.81796325],[127.13889056,36.81789679],[127.13872204,36.81785587],[127.13854679,36.81784205],[127.13837154,36.81785587],[127.13820302,36.81789679],[127.13804771,36.81796325],[127.13791159,36.81805268],[127.13779987,36.81816166],[127.13771686,36.81828599],[127.13766574,36.8184209],[127.13764848,36.81856119],[127.13766574,36.81870149],[127.13771686,36.81883639],[127.13779987,36.81896072],[127.13791159,36.81906969],[127.13804771,36.81915913],[127.13820302,36.81922558],[127.13837154,36.81926651],[127.13854679,36.81928032],[127.13872204,36.81926651],[127.13889056,36.81922558],[127.13904587,36.81915913],[127.139182,36.81906969],[127.13929371,36.81896072],[127.13937673,36.81883639],[127.13942784,36.81870149],[127.13944511,36.81856119]]]]}",이륜차 사고다발지역
6930353,2024047,4413111800,44131001,충남 천안시 동남구1,충남 천안시 동남구 신부동(방죽안오거리 부근),4,7,0,4,3,0,127.152179128824,36.818971448244,"{""type"":""Polygon"",""coordinates"":[[[127.15307744,36.81875011],[127.15306018,36.81860921],[127.15300906,36.81847372],[127.15292605,36.81834886],[127.15281433,36.81823941],[127.15267821,36.81814959],[127.1525229,36.81808285],[127.15235438,36.81804175],[127.15217913,36.81802787],[127.15200388,36.81804175],[127.15183536,36.81808285],[127.15168005,36.81814959],[127.15154392,36.81823941],[127.15143221,36.81834886],[127.15134919,36.81847372],[127.15129807,36.81860921],[127.15128081,36.81875011],[127.15129807,36.81889101],[127.15134919,36.81902649],[127.15143221,36.81915136],[127.15154392,36.8192608],[127.15168005,36.81935062],[127.15183536,36.81941736],[127.15200388,36.81945846],[127.15217913,36.81947234],[127.15235438,36.81945846],[127.1525229,36.81941736],[127.15267821,36.81935062],[127.15281433,36.8192608],[127.15292605,36.81915136],[127.15300906,36.81902649],[127.15306018,36.81889101],[127.15307744,36.81875011]]]}",이륜차 사고다발지역
6930258,2024047,4413310800,44133001,충남 천안시 서북구1,충남 천안시 서북구 불당동(청담약국 부근),5,6,1,4,0,1,127.10858202594,36.811921697661,"{""type"":""Polygon"",""coordinates"":[[[127.10948034,36.81170045],[127.10946308,36.81155953],[127.10941196,36.81142403],[127.10932895,36.81129916],[127.10921723,36.8111897],[127.1090811,36.81109987],[127.1089258,36.81103313],[127.10875728,36.81099202],[127.10858203,36.81097814],[127.10840677,36.81099202],[127.10823826,36.81103313],[127.10808295,36.81109987],[127.10794682,36.8111897],[127.1078351,36.81129916],[127.10775209,36.81142403],[127.10770097,36.81155953],[127.10768371,36.81170045],[127.10770097,36.81184136],[127.10775209,36.81197686],[127.1078351,36.81210173],[127.10794682,36.81221119],[127.10808295,36.81230101],[127.10823826,36.81236776],[127.10840677,36.81240886],[127.10858203,36.81242274],[127.10875728,36.81240886],[127.1089258,36.81236776],[127.1090811,36.81230101],[127.10921723,36.81221119],[127.10932895,36.81210173],[127.10941196,36.81197686],[127.10946308,36.81184136],[127.10948034,36.81170045]]]}",이륜차 사고다발지역
6930293,2024047,4413310200,44133002,충남 천안시 서북구2,충남 천안시 서북구 성정동(하늘약국 부근),5,7,0,5,2,0,127.134990911389,36.814045610291,"{""type"":""Polygon"",""coordinates"":[[[127.13588923,36.81382433],[127.13587197,36.81368342],[127.13582085,36.81354793],[127.13573783,36.81342305],[127.13562612,36.8133136],[127.13548999,36.81322378],[127.13533468,36.81315703],[127.13516616,36.81311593],[127.13499091,36.81310205],[127.13481566,36.81311593],[127.13464714,36.81315703],[127.13449183,36.81322378],[127.13435571,36.8133136],[127.13424399,36.81342305],[127.13416098,36.81354793],[127.13410986,36.81368342],[127.1340926,36.81382433],[127.13410986,36.81396524],[127.13416098,36.81410074],[127.13424399,36.81422561],[127.13435571,36.81433506],[127.13449183,36.81442488],[127.13464714,36.81449163],[127.13481566,36.81453273],[127.13499091,36.81454661],[127.13516616,36.81453273],[127.13533468,36.81449163],[127.13548999,36.81442488],[127.13562612,36.81433506],[127.13573783,36.81422561],[127.13582085,36.81410074],[127.13587197,36.81396524],[127.13588923,36.81382433]]]}",이륜차 사고다발지역
6930513,2024047,4413310400,44133003,충남 천안시 서북구3,충남 천안시 서북구 두정동(두정제일약국 부근),5,6,0,5,0,1,127.139132579681,36.833676946417,"{""type"":""Polygon"",""coordinates"":[[[127.14003089,36.83345542],[127.14001363,36.83331455],[127.13996251,36.83317909],[127.1398795,36.83305425],[127.13976778,36.83294482],[127.13963166,36.83285502],[127.13947635,36.83278829],[127.13930783,36.8327472],[127.13913258,36.83273333],[127.13895733,36.8327472],[127.13878881,36.83278829],[127.1386335,36.83285502],[127.13849737,36.83294482],[127.13838566,36.83305425],[127.13830264,36.83317909],[127.13825153,36.83331455],[127.13823426,36.83345542],[127.13825153,36.83359629],[127.13830264,36.83373175],[127.13838566,36.83385659],[127.13849737,36.83396602],[127.1386335,36.83405582],[127.13878881,36.83412254],[127.13895733,36.83416363],[127.13913258,36.83417751],[127.13930783,36.83416363],[127.13947635,36.83412254],[127.13963166,36.83405582],[127.13976778,36.83396602],[127.1398795,36.83385659],[127.13996251,36.83373175],[127.14001363,36.83359629],[127.14003089,36.83345542]]]}",이륜차 사고다발지역
6930407,2024047,4413310400,44133004,충남 천안시 서북구4,충남 천안시 서북구 두정동(두정먹자골목 부근),4,7,0,4,2,1,127.135726288689,36.83288135985,"{""type"":""Polygon"",""coordinates"":[[[127.1366246,36.83265984],[127.13660734,36.83251897],[127.13655622,36.83238351],[127.13647321,36.83225867],[127.13636149,36.83214924],[127.13622537,36.83205944],[127.13607006,36.83199271],[127.13590154,36.83195162],[127.13572629,36.83193774],[127.13555104,36.83195162],[127.13538252,36.83199271],[127.13522721,36.83205944],[127.13509108,36.83214924],[127.13497937,36.83225867],[127.13489635,36.83238351],[127.13484523,36.83251897],[127.13482797,36.83265984],[127.13484523,36.83280072],[127.13489635,36.83293618],[127.13497937,36.83306102],[127.13509108,36.83317044],[127.13522721,36.83326025],[127.13538252,36.83332697],[127.13555104,36.83336807],[127.13572629,36.83338194],[127.13590154,36.83336807],[127.13607006,36.83332697],[127.13622537,36.83326025],[127.13636149,36.83317044],[127.13647321,36.83306102],[127.13655622,36.83293618],[127.13660734,36.83280072],[127.1366246,36.83265984]]]}",이륜차 사고다발지역
6779184,2022040,4413110200,44131001,충청남도 천안시 동남구1,충청남도 천안시 동남구 성황동(포토베이스 부근),8,8,0,8,0,0,127.149146410779,36.812778481643,"{""type"":""Polygon"",""coordinates"":[[[127.15004473,36.81277848],[127.15002747,36.81263817],[127.14997635,36.81250326],[127.14989333,36.81237892],[127.14978162,36.81226994],[127.14964549,36.8121805],[127.14949018,36.81211403],[127.14932166,36.81207311],[127.14914641,36.81205929],[127.14897116,36.81207311],[127.14880264,36.81211403],[127.14864733,36.8121805],[127.14851121,36.81226994],[127.14839949,36.81237892],[127.14831648,36.81250326],[127.14826536,36.81263817],[127.1482481,36.81277848],[127.14826536,36.81291879],[127.14831648,36.8130537],[127.14839949,36.81317804],[127.14851121,36.81328702],[127.14864733,36.81337646],[127.14880264,36.81344292],[127.14897116,36.81348385],[127.14914641,36.81349767],[127.14932166,36.81348385],[127.14949018,36.81344292],[127.14964549,36.81337646],[127.14978162,36.81328702],[127.14989333,36.81317804],[127.14997635,36.8130537],[127.15002747,36.81291879],[127.15004473,36.81277848]]]}",보행자 사고다발지역
6778889,2022040,4413110500,44131002,충청남도 천안시 동남구2,충청남도 천안시 동남구 영성동(남산사거리 부근),8,8,0,8,0,0,127.149203164296,36.800338396301,"{""type"":""Polygon"",""coordinates"":[[[127.15010148,36.8003384],[127.15008422,36.80019807],[127.1500331,36.80006313],[127.14995009,36.79993877],[127.14983837,36.79982977],[127.14970224,36.79974031],[127.14954693,36.79967384],[127.14937842,36.79963291],[127.14920316,36.79961909],[127.14902791,36.79963291],[127.14885939,36.79967384],[127.14870409,36.79974031],[127.14856796,36.79982977],[127.14845624,36.79993877],[127.14837323,36.80006313],[127.14832211,36.80019807],[127.14830485,36.8003384],[127.14832211,36.80047873],[127.14837323,36.80061366],[127.14845624,36.80073802],[127.14856796,36.80084702],[127.14870409,36.80093648],[127.14885939,36.80100295],[127.14902791,36.80104388],[127.14920316,36.8010577],[127.14937842,36.80104388],[127.14954693,36.80100295],[127.14970224,36.80093648],[127.14983837,36.80084702],[127.14995009,36.80073802],[127.1500331,36.80061366],[127.15008422,36.80047873],[127.15010148,36.8003384]]]}",보행자 사고다발지역
6779136,2022040,4413110900,44131003,충청남도 천안시 동남구3,충청남도 천안시 동남구 청수동(속성변화점 부근),7,8,1,6,1,0,127.152804860957,36.797103676994,"{""type"":""Polygon"",""coordinates"":[[[127.15370318,36.79710368],[127.15368592,36.79696334],[127.1536348,36.7968284],[127.15355178,36.79670403],[127.15344007,36.79659503],[127.15330394,36.79650557],[127.15314863,36.79643909],[127.15298011,36.79639816],[127.15280486,36.79638434],[127.15262961,36.79639816],[127.15246109,36.79643909],[127.15230578,36.79650557],[127.15216966,36.79659503],[127.15205794,36.79670403],[127.15197493,36.7968284],[127.15192381,36.79696334],[127.15190655,36.79710368],[127.15192381,36.79724401],[127.15197493,36.79737895],[127.15205794,36.79750332],[127.15216966,36.79761232],[127.15230578,36.79770178],[127.15246109,36.79776825],[127.15262961,36.79780919],[127.15280486,36.79782301],[127.15298011,36.79780919],[127.15314863,36.79776825],[127.15330394,36.79770178],[127.15344007,36.79761232],[127.15355178,36.79750332],[127.1536348,36.79737895],[127.15368592,36.79724401],[127.15370318,36.79710368]]]}",보행자 사고다발지역
