관리기관,관리부서,관리번호,위도,경도,소재지도로명주소,소재지지번주소,설치형태,데이터기준일자,주변 학교 수,가장 가까운 학교와의 거리,광원 등급
천안시 동남구,건설과,,36.74537895,127.2131396,,성남면 용원리 291-39,LED,2024-07-23,0,2256.0659260871907,5
천안시 동남구,건설과,,36.74632091,127.2129743,,성남면 용원리 291-39,LED,2024-07-23,0,2286.891487644518,5
천안시 동남구,건설과,,36.74361278,127.2131235,,성남면 용원리 291-39,LED,2024-07-23,0,2239.8025109650007,5
천안시 동남구,건설과,,36.74440034,127.2136352,,성남면 용원리 291-39,LED,2024-07-23,0,2200.16173544269,5
천안시 동남구,건설과,,36.74472674,127.2150301,,성남면 용원리 291-39,LED,2024-07-23,0,2080.0440491868217,5
천안시 동남구,건설과,,36.74501486,127.2143274,,성남면 용원리 291-39,LED,2024-07-23,0,2145.937763989169,5
천안시 동남구,건설과,,36.72724102,127.1180529,,풍세면 보성리 680-25,LED,2024-07-23,2,129.94472153099233,5
천안시 동남구,건설과,,36.72696481,127.1194182,,풍세면 보성리 680-25,LED,2024-07-23,2,160.74494124574986,5
천안시 동남구,건설과,,36.72721786,127.1186797,,풍세면 보성리 680-25,LED,2024-07-23,2,141.01784743168258,5
천안시 동남구,건설과,,36.72659837,127.1163727,,풍세면 보성리 680-25,LED,2024-07-23,2,156.21720922501126,5
천안시 동남구,건설과,,36.7263824,127.1160645,,풍세면 보성리 680-25,LED,2024-07-23,2,175.75588950314182,5
천안시 동남구,건설과,,36.72615299,127.1156724,,풍세면 보성리 680-25,LED,2024-07-23,2,207.4956553782658,5
천안시 동남구,건설과,,36.72596874,127.1151795,,풍세면 보성리 680-25,LED,2024-07-23,2,251.50346029083164,5
천안시 동남구,건설과,,36.72722382,127.1172188,,풍세면 보성리 680-25,LED,2024-07-23,2,145.59286892922674,5
천안시 동남구,건설과,,36.72716306,127.1194129,,풍세면 보성리 680-25,LED,2024-07-23,2,174.86150360993682,5
천안시 동남구,건설과,,36.72687062,127.1167201,,풍세면 보성리 680-25,LED,2024-07-23,2,144.36841316797612,5
천안시 동남구,건설과,,36.72635849,127.1128181,,풍세면 보성리 680-25,LED,2024-07-23,0,462.7778168038819,5
천안시 동남구,건설과,,36.72588361,127.1146869,,풍세면 보성리 680-25,LED,2024-07-23,2,295.88934043414304,5
천안시 동남구,건설과,,36.72614614,127.1134279,,풍세면 보성리 680-25,LED,2024-07-23,0,407.42344669733706,5
천안시 동남구,건설과,,36.72590236,127.1139313,,풍세면 보성리 680-25,LED,2024-07-23,0,362.9762698113373,5
천안시 동남구,건설과,,36.72631428,127.1233157,,풍세면 보성리 422,CDM,2024-07-23,0,474.64556289928913,4
천안시 동남구,건설과,,36.72673344,127.1231876,,풍세면 보성리 422,CDM,2024-07-23,0,468.26083541155487,4
천안시 동남구,건설과,,36.72688928,127.122796,,풍세면 보성리 422,CDM,2024-07-23,0,437.0922473384041,4
천안시 동남구,건설과,,36.72693266,127.1222448,,풍세면 보성리 422,CDM,2024-07-23,0,390.3245712559684,4
천안시 동남구,건설과,,36.72697833,127.1216403,,풍세면 보성리 422,CDM,2024-07-23,0,339.81605907716585,4
천안시 동남구,건설과,,36.72703546,127.1208484,,풍세면 보성리 422,CDM,2024-07-23,2,275.61047080700973,4
천안시 동남구,건설과,,36.72710384,127.1200621,,풍세면 보성리 422,CDM,2024-07-23,2,216.6991979663936,4
천안시 동남구,건설과,,36.72502771,127.1235235,,풍세면 보성리 422,CDM,2024-07-23,0,505.9492780259207,4
천안시 동남구,건설과,,36.72523948,127.1235182,,풍세면 보성리 422,CDM,2024-07-23,0,500.5981051500132,4
천안시 동남구,건설과,,36.72545135,127.123415,,풍세면 보성리 422,CDM,2024-07-23,0,487.6679403720937,4
천안시 동남구,건설과,,36.72568116,127.1233902,,풍세면 보성리 422,CDM,2024-07-23,0,482.5031174357897,4
천안시 동남구,건설과,,36.72590872,127.1233682,,풍세면 보성리 422,CDM,2024-07-23,0,478.9176823322585,4
천안시 동남구,건설과,,36.72611826,127.1233405,,풍세면 보성리 422,CDM,2024-07-23,0,476.12525620967097,4
천안시 동남구,건설과,,36.72653736,127.1232656,,풍세면 보성리 422,CDM,2024-07-23,0,472.250956969172,4
천안시 동남구,건설과,,36.77662843,127.2113134,,목천읍 신계리 172-10,나트륨,2024-07-23,0,332.5114575017546,2
천안시 동남구,건설과,,36.77637129,127.2114947,,목천읍 신계리 172-10,나트륨,2024-07-23,0,353.79581160696785,2
천안시 동남구,건설과,,36.77613686,127.2115753,,목천읍 신계리 172-10,나트륨,2024-07-23,0,367.4273613966149,2
천안시 동남구,건설과,,36.77582164,127.211482,,목천읍 신계리 172-10,나트륨,2024-07-23,0,371.2965678216665,2
천안시 동남구,건설과,,36.77554226,127.2115009,,목천읍 신계리 172-10,나트륨,2024-07-23,0,385.6555549083208,2
천안시 동남구,건설과,,36.77500554,127.2118102,,목천읍 신계리 172-10,나트륨,2024-07-23,0,438.8406494493003,2
천안시 동남구,건설과,,36.77526262,127.2116681,,목천읍 신계리 172-10,나트륨,2024-07-23,0,413.3845648522133,2
천안시 동남구,건설과,,36.77649534,127.2114167,,목천읍 신계리 172-10,나트륨,2024-07-23,0,344.12767731618214,2
천안시 동남구,건설과,,36.77474438,127.2117199,,목천읍 신계리 172-10,나트륨,2024-07-23,0,448.2597675122152,2
천안시 동남구,건설과,,36.7752765,127.2114609,,목천읍 신계리 172-10,나트륨,2024-07-23,0,396.62346602168645,2
천안시 동남구,건설과,,36.77553357,127.2113216,,목천읍 신계리 172-10,나트륨,2024-07-23,0,371.8743866654484,2
천안시 동남구,건설과,,36.77577026,127.2112382,,목천읍 신계리 172-10,나트륨,2024-07-23,0,353.6268721033291,2
천안시 동남구,건설과,,36.77603816,127.211337,,목천읍 신계리 172-10,나트륨,2024-07-23,0,350.65101091624354,2
천안시 동남구,건설과,,36.77629056,127.2112873,,목천읍 신계리 172-10,나트륨,2024-07-23,0,338.0642234756798,2
천안시 동남구,건설과,,36.73219256,127.1010575,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1427.9792404825434,4
천안시 동남구,건설과,,36.73242479,127.1008311,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1402.9194424592288,4
천안시 동남구,건설과,,36.73265027,127.1005991,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1378.962329371417,4
천안시 동남구,건설과,,36.7329073,127.1003448,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1352.0168768335743,4
천안시 동남구,건설과,,36.73130587,127.0972528,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1572.844359126655,4
천안시 동남구,건설과,,36.73147239,127.0974881,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1549.879564580241,4
천안시 동남구,건설과,,36.73079088,127.0996543,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1592.0207216108786,4
